postcode,open_Monday,open_Tuesday,open_Wednesday,open_Thursday,open_Friday,open_Saturday,open_Sunday,closed_Monday,closed_Tuesday,closed_Wednesday,closed_Thursday,closed_Friday,closed_Saturday,closed_Sunday
LA17 7UY,09:00,10:00,,10:00,,10:00,09:00,16:00,19:00,,19:00,,19:00,16:00
LL27 0YX,09:00,09:00,,,09:00,09:00,09:00,16:00,16:00,,,16:00,16:00,16:00
M46 9PU,08:30,09:00,08:30,08:30,08:30,08:30,08:30,17:30,16:00,17:30,17:30,17:30,17:30,17:30
NE68 7TQ,,,09:00,,,08:30,08:30,,,16:00,,,17:30,17:30
WN6 0QG,,10:00,10:00,09:00,10:00,,,,19:00,19:00,16:00,19:00,,
SE9 1QR,08:30,08:30,08:30,08:30,08:30,08:30,08:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30
OL8 4NJ,09:00,09:00,09:00,,08:30,08:30,,16:00,16:00,16:00,,17:30,17:30,
UB5 6NQ,09:00,09:00,09:00,,,08:30,08:30,16:00,16:00,16:00,,,17:30,17:30
PA3 1BT,09:00,09:00,09:00,08:30,08:30,,,16:00,16:00,16:00,17:30,17:30,,
EH17 8BB,08:30,08:30,,,09:00,09:00,,17:30,17:30,,,16:00,16:00,
EH5 1JS,09:00,08:30,08:30,,09:00,,09:00,16:00,17:30,17:30,,16:00,,16:00
S17 3LT,09:00,,08:30,08:30,,,09:00,16:00,,17:30,17:30,,,16:00
HD4 7LT,09:00,,09:00,08:30,08:30,,,16:00,,16:00,17:30,17:30,,
NE4 6BP,09:00,,09:00,,08:30,08:30,,16:00,,16:00,,17:30,17:30,
CH45 0JS,09:00,,,09:00,,08:30,08:30,16:00,,,16:00,,17:30,17:30
CT15 6JJ,08:30,,09:00,,,,08:30,17:30,,16:00,,,,17:30
